Postcode,Street,BinNumber,FillLevel,Weight,Timestamp
TS18,Test Street 1,1,26.29,8.4,2025-04-02T22:31:18.3207999
TS18,Test Street 1,1,28.64,10.32,2025-04-03T22:31:18.3207999
TS18,Test Street 1,1,32.16,11.6,2025-04-04T22:31:18.3207999
TS18,Test Street 1,1,35.27,12.57,2025-04-05T22:31:18.3207999
TS18,Test Street 1,1,37.81,14.38,2025-04-06T22:31:18.3207999
TS18,Test Street 1,1,41.68,15.57,2025-04-07T22:31:18.3207999
TS18,Test Street 1,1,45.05,17.11,2025-04-08T22:31:18.3207999
TS18,Test Street 1,1,48.01,17.72,2025-04-09T22:31:18.3207999
TS18,Test Street 1,1,49.72,18.41,2025-04-10T22:31:18.3207999
TS18,Test Street 1,1,53.16,19.8,2025-04-11T22:31:18.3207999
TS18,Test Street 1,1,56.02,20.48,2025-04-12T22:31:18.3207999
TS18,Test Street 1,1,59.12,21.31,2025-04-13T22:31:18.3207999
TS18,Test Street 1,1,62.83,22.23,2025-04-14T22:31:18.3207999
TS18,Test Street 1,1,65.32,24.07,2025-04-15T22:31:18.3207999
TS18,Test Street 1,1,12.52,4.49,2025-04-16T22:31:18.3207999
TS18,Test Street 1,1,15.32,6.38,2025-04-17T22:31:18.3207999
TS18,Test Street 1,1,18.14,7.24,2025-04-18T22:31:18.3207999
TS18,Test Street 1,1,20.18,8.26,2025-04-19T22:31:18.3207999
TS18,Test Street 1,1,23.35,9.7,2025-04-20T22:31:18.3207999
TS18,Test Street 1,1,26.95,11.03,2025-04-21T22:31:18.3207999
TS18,Test Street 1,1,28.82,12.91,2025-04-22T22:31:18.3207999
TS18,Test Street 1,1,31.61,14.16,2025-04-23T22:31:18.3207999
TS18,Test Street 1,1,33.54,15.85,2025-04-24T22:31:18.3207999
TS18,Test Street 1,1,36.79,16.82,2025-04-25T22:31:18.3207999
TS18,Test Street 1,1,40.23,18.65,2025-04-26T22:31:18.3207999
TS18,Test Street 1,1,42.82,20.48,2025-04-27T22:31:18.3207999
TS18,Test Street 1,1,45.02,22.19,2025-04-28T22:31:18.3207999
TS18,Test Street 1,1,47.4,22.98,2025-04-29T22:31:18.3207999
TS18,Test Street 1,1,8.08,2.63,2025-04-30T22:31:18.3207999
TS18,Test Street 2,2,22.47,6.24,2025-04-02T22:31:18.3207999
